Year,Week Number,Average
1905,21,52.522000000000006
1905,22,53.3975
1905,23,52.91600000000001
1905,24,53.652
1905,25,54.288
1905,26,56.016
1905,27,57.25500000000001
1905,28,57.081999999999994
1905,29,57.412
1905,30,57.278
1905,31,59.084
1905,32,59.412
1905,33,59.63199999999999
1905,34,59.702
1905,35,59.004
1905,36,57.585
1905,37,57.83200000000001
1905,38,58.99400000000001
1905,39,58.779999999999994
1905,40,59.75
1905,41,58.95399999999999
1905,42,59.034000000000006
1905,43,59.739999999999995
1905,44,60.54
1905,45,59.67999999999999
1905,46,59.66799999999999
1905,47,62.128
1905,48,64.94999999999999
1905,49,66.176
1905,50,68.936
1905,51,68.74399999999999
1905,52,69.13
1906,1,68.876
1906,2,71.45200000000001
1906,3,73.66
1906,4,74.304
1906,5,72.652
1906,6,72.348
1906,7,71.4375
1906,8,70.1425
1906,9,68.872
1906,10,68.38399999999999
1906,11,69.662
1906,12,68.338
1906,13,69.78
1906,14,70.628
1906,15,69.522
1906,16,69.39
1906,17,66.98400000000001
1906,18,63.91799999999999
1906,19,66.97
1906,20,67.41600000000001
1906,21,67.022
1906,22,67.85249999999999
1906,23,68.81199999999998
1906,24,67.682
1906,25,65.99199999999999
1906,26,64.03599999999999
1906,27,62.852500000000006
1906,28,62.629999999999995
1906,29,63.041999999999994
1906,30,64.854
1906,31,67.162
1906,32,66.85199999999999
1906,33,67.22999999999999
1906,34,69.25
1906,35,68.428
1906,36,68.06750000000001
1906,37,68.75
1906,38,69.38399999999999
1906,39,68.828
1906,40,69.02799999999999
1906,41,69.966
1906,42,69.256
1906,43,67.96000000000001
1906,44,67.864
1906,45,67.98500000000001
1906,46,67.858
1906,47,68.92800000000001
1906,48,68.8425
1906,49,68.94399999999999
1906,50,68.91
1906,51,68.014
1906,52,67.8425
1907,1,58.34400000000001
1907,2,69.458
1907,3,68.414
1907,4,67.772
1907,5,66.154
1907,6,66.39
1907,7,67.38
1907,8,66.825
1907,9,65.376
1907,10,62.782
1907,11,59.81
1907,12,58.952
1907,13,56.334
1907,14,59.848
1907,15,61.108000000000004
1907,16,59.86600000000001
1907,17,60.946000000000005
1907,18,61.144000000000005
1907,19,60.5
1907,20,60.45399999999999
1907,21,57.55800000000001
1907,22,56.3075
1907,23,56.972
1907,24,57.186
1907,25,56.403999999999996
1907,26,57.522000000000006
